品牌,型号,受欢迎度,CADR 灰尘(m3/h),AHAM认证,最小功率(W),最大功率(W),最小噪音(dB),最大噪音(dB),产地,重量(kg),价格,最大风量,风档,睡眠模式,支持遥控,支持定时,空气质量显示,滤网更新提醒,耗材名称；耗材型号；价格,网址,净化器类型,评测
亚都,KJF2903E,6.4,,,,53,,44,中国,9.5,"2,499",260,3,FALSE,FALSE,FALSE,TRUE,TRUE,滤网组件；YD01；283,http://detail.tmall.com/item.htm?spm=a220m.1000858.0.0.nyltOi&id=36843987217&areaId=211200&is_b=1&cat_id=2&q=%D1%C7%B6%BC+kjf,,
亚都,KJF3016,2.5,,,,53,,44,中国,9.5,,260,,TRUE,,FALSE,FALSE,TRUE,滤网组件；YD01；283,http://detail.tmall.com/item.htm?spm=a220m.1000858.0.0.nyltOi&id=36843987217&areaId=211200&is_b=1&cat_id=2&q=%D1%C7%B6%BC+kjf,,
亚都,KJF4902,2.6,,,,180,,,,19,"4,980",400,3,FALSE,FALSE,FALSE,FALSE,FALSE,滤芯组件；YD05；462,http://detail.tmall.com/item.htm?spm=a220m.1000858.0.0.nyltOi&id=36856808895&areaId=211200&is_b=1&cat_id=2&q=%D1%C7%B6%BC+kjf,,
亚都,KJF883,2.6,60,FALSE,,9,,50,,3.38,"1,088",60,,FALSE,TRUE,FALSE,TRUE,FALSE,滤网组件；882；138,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.zKPWom&id=26813392915&areaId=211200&cat_id=2&rn=09141a545771590f1020d803c787bb38&user_id=1020035293&is_b=1,,
亚都,KJF888C,1.9,,,,6,,,,3,699,,3,FALSE,FALSE,FALSE,FALSE,FALSE,滤网组件；882；138,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.zKPWom&id=26813392915&areaId=211200&cat_id=2&rn=09141a545771590f1020d803c787bb38&user_id=1020035293&is_b=1,,
亚都,KJG100G,6.7,,,,30,,43,中国,5.2,998,135,3,TRUE,,TRUE,,,滤网组件；——,——,,
亚都,KJG100P,1.7,,,,30,,,,,,135,,,,,,,滤网组件；——,——,,
亚都,KJG101W,1.7,,,,60,,,中国,9,"1,199",280,,,,,,,滤网组件；KJG101W；299,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.37.PtWA2O&id=18264174168&areaId=211200&cat_id=2&rn=672979083374cb62fdf5c59bd8b242ff&user_id=1020246519&is_b=1,,
亚都,KJG1201S,8.6,,,,40,,55,中国,4.7,449,120,3,FALSE,FALSE,FALSE,FALSE,FALSE,滤芯组件；YD06；200,http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-4926967824.36.AfW9TR&id=36846557310&rn=33d820b5037326864ecf96710d7e979f,,
亚都,KJG130A,2.6,,,,40,,55,,4.5,715,120,3,FALSE,FALSE,FALSE,TRUE,FALSE,滤芯组件；YD06；200,http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-4926967824.36.AfW9TR&id=36846557310&rn=33d820b5037326864ecf96710d7e979f,,
亚都,KJG200S,2.6,,,,35,,55,,5.1,"1,688",150,,TRUE,FALSE,TRUE,FALSE,FALSE,滤网组件；YD08；171,http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-4926967824.35.o0c0nT&id=36857107405&rn=965395567763a84fe39c99873ac1ea63,,
亚都,KJG200W,5.6,112,FALSE,28,40,,55,中国,5.09,899,130,3,TRUE,FALSE,TRUE,FALSE,FALSE,滤网组件；YD08；171,http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-4926967824.35.o0c0nT&id=36857107405&rn=965395567763a84fe39c99873ac1ea63,,
亚都,KJG2018D,3.7,,,,58,,49,韩国,11,"3,699",330,3,TRUE,FALSE,,TRUE,,滤网组件；——,——,,
亚都,KJG2104,5.6,,,,40,,55,中国,7,999,,3,TRUE,FALSE,FALSE,TRUE,TRUE,滤网组件；YD02；283,http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-4926967824.37.DHHsbp&id=36846209786&rn=14c01a26ed16b255f63116cff082cd6c,,
亚都,KJG230S,5.4,,,28,32,,55,中国,5.09,829,150,3,TRUE,FALSE,TRUE,FALSE,TRUE,滤网组件；YD08；171,http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-4926967824.35.o0c0nT&id=36857107405&rn=965395567763a84fe39c99873ac1ea63,,
亚都,KJG240C,4.6,,,28,32,,55,中国,5.09,899,,3,TRUE,FALSE,TRUE,FALSE,FALSE,滤网组件；YD08；171,http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-4926967824.35.o0c0nT&id=36857107405&rn=965395567763a84fe39c99873ac1ea63,,
亚都,KJG2701,3.6,,,,53,,44,,9.7,"2,680",260,,FALSE,FALSE,FALSE,FALSE,FALSE,滤网组件；YD02；283,http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-4926967824.37.DHHsbp&id=36846209786&rn=14c01a26ed16b255f63116cff082cd6c,,
亚都,KJG2702,4.6,,,,53,,53,,8.5,"1,799",260,3,TRUE,TRUE,TRUE,TRUE,FALSE,滤网组件；YD02；283,http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-4926967824.37.DHHsbp&id=36846209786&rn=14c01a26ed16b255f63116cff082cd6c,,
亚都,KJG2702G,1.9,,,,52,,,,8.5,"1,499",260,,TRUE,FALSE,FALSE,TRUE,TRUE,滤网组件；——,——,,
亚都,KJG3002A,3.6,,,,20,,55,,7.78,"1,199",260,3,FALSE,FALSE,FALSE,FALSE,FALSE,复合滤芯； HJZ300；298,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.31.dMHqDu&id=37333897054&areaId=211200&cat_id=2&rn=4accf673aabea1b2f41867369366288f&user_id=1778355479&is_b=1,,
亚都,KJG3066D,2,,,,60,,48,韩国,12,"3,399",,3,TRUE,,TRUE,TRUE,,滤网组件；——,——,,
亚都,KJG881,3.6,,,,6.5,,50,,1.12,374,40,,FALSE,TRUE,FALSE,TRUE,FALSE,滤网组件；——,——,,
亚都,KJG882,3.4,,,,7,,50,中国,2.74,469,40,,FALSE,TRUE,FALSE,TRUE,FALSE,滤网组件；882；138,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.zKPWom&id=26813392915&areaId=211200&cat_id=2&rn=09141a545771590f1020d803c787bb38&user_id=1020035293&is_b=1,,
亚都,KJG882C,1.9,,,,7,,,,,558,,,FALSE,FALSE,FALSE,FALSE,FALSE,滤网组件；YD01；283,http://detail.tmall.com/item.htm?spm=a220m.1000858.0.0.nyltOi&id=36843987217&areaId=211200&is_b=1&cat_id=2&q=%D1%C7%B6%BC+kjf,,
亚都,KJT1351,1.9,,,,40,,,,,199,,,FALSE,FALSE,FALSE,FALSE,FALSE,滤网组件；YD04；180,http://detail.tmall.com/item.htm?spm=a1z10.5.w4011-4926967824.29.FA4HFq&id=36857152168&rn=041e5c432207816085c57098eaa7007d,,
亚都,SZ-J031A,1.9,,,,50,,,,3.3,270,,3,FALSE,FALSE,FALSE,FALSE,FALSE,滤网组件；——,——,,
伊莱克斯,CN500AZ,9.4,,,,125,26,50,韩国,8.6,"2,999",,3,TRUE,TRUE,FALSE,TRUE,TRUE,"HEPA滤网；EL022；329
活性炭滤网；EL023；269","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.31.w3dGYI&id=37481019147&areaId=211200&cat_id=2&rn=c235f207eafb5a0321ca57136028f1e1&user_id=1727236412&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.14.w3dGYI&id=37482554348&areaId=211200&cat_id=2&rn=c235f207eafb5a0321ca57136028f1e1&user_id=1727236412&is_b=1",过滤型,
伊莱克斯,EAC003,5,193,FALSE,,31,28.5,35.4,韩国,5.1,"1,799",,3,TRUE,,,TRUE,TRUE,滤网组件；EFAC103；299,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.37.i2XHBD&id=37487603522&areaId=211200&cat_id=2&rn=b2c93f76015a5f3ea23d84ed7719c753&user_id=1727236412&is_b=1,过滤型,
伊莱克斯,EAC203,7.5,158,FALSE,,40,26,35,韩国,5,"1,999",,4,TRUE,,TRUE,TRUE,TRUE,滤网组件；EFAC203；399,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.77.TFAsQM&id=37503104427&areaId=211200&cat_id=2&rn=6638d87da0c9d0c22b58945625f27d1e&user_id=1727236412&is_b=1,复合型（等离子）,
伊莱克斯,EAC303,7.5,222,FALSE,,60,26,26,韩国,6.1,"3,299",7,4,TRUE,,TRUE,TRUE,TRUE,滤网组件；900275336；899,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.112.7He3j6&id=37489657417&areaId=211200&cat_id=2&rn=5f7e8b2f842013c1e2e9a3ca4a9bcf06&user_id=1727236412&is_b=1,复合型（等离子）,
伊莱克斯,EAC403,7.5,579,FALSE,,110,27,38,韩国,8.5,"4,999",,4,TRUE,,TRUE,TRUE,TRUE,滤网组件；EF404；1199,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.118.pa59zJ&id=37480943009&areaId=211200&cat_id=2&rn=b78920b4f0d9b0d94eaece88b4b95d72&user_id=1727236412&is_b=1,复合型（等离子）,
伊莱克斯,EHF7000,7.4,,,27,330,,,韩国,6.4,"2,490",,,TRUE,FALSE,TRUE,FALSE,FALSE,——,——,复合型（等离子）,
伊莱克斯,Z9123,9.6,385,FALSE,5.5,78,26.8,35,韩国,7,"2,580",385,3,TRUE,FALSE,FALSE,TRUE,TRUE,滤网组件；EF115W；749,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.76.7Mf7pU&id=37159280450&areaId=211200&cat_id=2&rn=bcf7ddcfa39bd978bc705a437a62e8b4&user_id=352182917&is_b=1,复合型（等离子）,
伊莱克斯,Z9124,9.4,385,FALSE,,78,26.8,35,韩国,7.2,"3,180",,5,TRUE,TRUE,FALSE,TRUE,TRUE,"HEPA滤网；EF108W；289
活性炭滤网；EF109；239","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.13.5QrZo0&id=18472765029&areaId=211200&cat_id=2&rn=ff637217a4cdaafa544e36bb06b3feee&user_id=509215851&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.23.5QrZo0&id=18457062198&areaId=211200&cat_id=2&rn=ff637217a4cdaafa544e36bb06b3feee&user_id=509215851&is_b=1",复合型（等离子）,
双鸟,AC-3851,4.7,359,FALSE,,88,,,中国,8.1,"2,280",,3,TRUE,FALSE,TRUE,TRUE,TRUE,"活性炭滤网；PF-C002；60
HEPA滤网；PF-H002；370
VOC滤网；PF-V002；208","http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2640158277.33.DUPBh3&id=18428617119&rn=e63ed74899db4603b442fba0d3a03dca
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2640158277.39.DUPBh3&id=25058096874&rn=e63ed74899db4603b442fba0d3a03dca
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2640158277.36.DUPBh3&id=25058336344&rn=e63ed74899db4603b442fba0d3a03dca",过滤型,
双鸟,AC-3854Z,2.8,,,,24,,25,中国,8.4,"2,680",50,,FALSE,TRUE,TRUE,FALSE,FALSE,复合滤网；——,——,过滤型,
双鸟,AC-4234W,5.4,,,,23,,70,中国,1.9,388,,3,TRUE,FALSE,TRUE,FALSE,FALSE,复合滤网；AC-4234；85,http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2640158277.13.55lSuE&id=20925523136&rn=e526710edfabeab98a20be488b732257,过滤型,
双鸟,AC-4235W,1.8,,,,28,,25,中国,2,,,3,FALSE,FALSE,TRUE,FALSE,FALSE,复合滤网；AC-4235；85,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.2.Qas1XO&id=23086076954&areaId=211200&cat_id=2&rn=faa4efc61011c629faedf324e4437742&user_id=1101744161&is_b=1,过滤型,
双鸟,AC-4238W,1.8,,,,41,,25,中国,4,,,3,FALSE,,TRUE,FALSE,FALSE,复合滤网；AC-D358；130,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.46.vvYA9e&id=17270370449&areaId=211200&cat_id=2&rn=736968136af718721e23e943195d298d&user_id=1124697534&is_b=1,过滤型,
双鸟,AC-4316,5.4,,,26,22.3,,70,中国,2.1,339,,2,FALSE,FALSE,TRUE,FALSE,FALSE,复合滤网；AC-4316；85,http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.2.7uVIJO&id=20925523136&areaId=211200&cat_id=2&rn=9ae427e3f89dfaa3157e81912c2120bb&user_id=1664774987&is_b=1,过滤型,
双鸟,AC-D358P,5.4,,,,24,,70,中国,4,758,,3,FALSE,FALSE,TRUE,FALSE,FALSE,——,——,——,
夏普,CF-20NZW,3,,,,,,,,14,,,,,,,,,——,——,,
夏普,CFJ-15SW,4,,,,240,,40,,13,,,,,,,,,——,——,,
夏普,FU-A420S,6.6,418,FALSE,,57,,54,,8.3,"3,350",418,3,FALSE,FALSE,FALSE,TRUE,TRUE,"脱臭过滤网；FZ-A420DF；267
集尘HEPA过滤网；FZ-A420HF；——
除甲醛过滤网；FZ-A420VF；230","http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.28.B6KVL8&id=19209323481&rn=f452f4fc98f29dff5031f136d2efc7c9
——
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.8.ozbeme&id=37034516117&areaId=211200&cat_id=2&rn=5949b5d4f1236b83a31ad2940ef93e52&user_id=1738374033&is_b=1",,
夏普,FU-BD20,3.8,240,FALSE,,29,,,中国,5.5,,240,,TRUE,,TRUE,TRUE,TRUE,"集尘HEPA过滤网；FZ-CD20GH；340
脱臭·除甲醛一体过滤网；FZ-CD20GD；390","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.cK87f8&id=39668306631&areaId=211200&cat_id=2&rn=84ba61a7efd4a9da9bc5dfeeca0837c5&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.KJTvC9&id=39657503202&areaId=211200&cat_id=2&rn=e3f841d53e260c43fd66765ce2dad527&user_id=1813906866&is_b=1",,
夏普,FU-BD30,3.8,260,FALSE,,26,,,中国,7,,260,,TRUE,,TRUE,TRUE,TRUE,"集尘HEPA过滤网；FZ-CD30GH；390
脱臭·除甲醛一体过滤网；FZ-WD30GD；","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.uV5mJ1&id=39679234009&areaId=211200&cat_id=2&rn=23c3718597272c2851fd48664ae90546&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.103.1v1eZK&id=41105567180&areaId=211200&cat_id=2&rn=0d5d721f9732761088fc078ac3d4e749&user_id=1813906866&is_b=1",,
夏普,FU-CD20,3,250,FALSE,,,,,,5.5,,,,,,,,,"集尘HEPA过滤网；FZ-CD20GH；340
脱臭·除甲醛一体过滤网；FZ-CD20GD；390","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.cK87f8&id=39668306631&areaId=211200&cat_id=2&rn=84ba61a7efd4a9da9bc5dfeeca0837c5&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.KJTvC9&id=39657503202&areaId=211200&cat_id=2&rn=e3f841d53e260c43fd66765ce2dad527&user_id=1813906866&is_b=1",,
夏普,FU-CD30,5.8,270,FALSE,,26,,62,中国,7,"2,310.2",400,,TRUE,,TRUE,TRUE,FALSE,"集尘HEPA过滤网；FZ-CD30GH；390
脱臭·除甲醛一体过滤网；FZ-CD30GT；440","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.uV5mJ1&id=39679234009&areaId=211200&cat_id=2&rn=23c3718597272c2851fd48664ae90546&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.15.o91dG5&id=39697369610&areaId=211200&cat_id=2&rn=67b765739d0f13b2efc2aaeec12396a1&user_id=1813906866&is_b=1",,
夏普,FU-GB10,8.6,170,FALSE,,50,,,中国,5,999,,3,FALSE,FALSE,FALSE,TRUE,FALSE,"除甲醛过滤网；FZ-Y180VFS；145
集尘·脱臭一体化过滤网；FZ-Y180SFS；220","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.95.yVVk8f&id=38408292212&areaId=211200&cat_id=2&rn=ae8306c4dae185e8588fcb8cfaa43479&user_id=2050582261&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.101.yVVk8f&id=38378395438&areaId=211200&cat_id=2&rn=ae8306c4dae185e8588fcb8cfaa43479&user_id=2050582261&is_b=1",,
夏普,FU-W240SR,6.6,,,3.3,38,14,51,,6,"1,570",,3,FALSE,FALSE,FALSE,TRUE,TRUE,"脱臭过滤网；FZ-240DFS；140
集尘HEPA过滤网；FUS40H；260
除甲醛过滤网；FZ-240VFS；107","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.xbWaiC&id=35699331635&areaId=211200&cat_id=2&rn=fa387be421bca30c6b84c668fcd6a57f&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.ADRfYS&id=35674856448&areaId=211200&cat_id=2&rn=f33a9512d4df48ebfb0ef728d76f8ae7&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.4d8GOD&id=19204975537&areaId=211200&cat_id=2&rn=321b978c47de6f517e949c52a030cbe0&user_id=748811402&is_b=1",,
夏普,FU-W240SW,6.6,,,3.3,38,14,51,中国,6,"1,825",,3,FALSE,FALSE,FALSE,TRUE,TRUE,"集尘HEPA过滤网；FUS40H；280
脱臭过滤网；FUS40H；260
除甲醛过滤网；FZ-240VFS；107","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.55.C7HCdj&id=35492595036&areaId=211200&cat_id=2&rn=ad45a8ba74f90d566ca85de2b328809b&user_id=1738374033&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.ADRfYS&id=35674856448&areaId=211200&cat_id=2&rn=f33a9512d4df48ebfb0ef728d76f8ae7&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.4d8GOD&id=19204975537&areaId=211200&cat_id=2&rn=321b978c47de6f517e949c52a030cbe0&user_id=748811402&is_b=1",,
夏普,FU-WD20,7.7,240,FALSE,,29,,57,中国,5.5,"2,199",,3,FALSE,,FALSE,TRUE,FALSE,"集尘HEPA过滤网；FZ-CD20GH；340
脱臭·除甲醛一体过滤网；FZ-CD20GD；390","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.cK87f8&id=39668306631&areaId=211200&cat_id=2&rn=84ba61a7efd4a9da9bc5dfeeca0837c5&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.KJTvC9&id=39657503202&areaId=211200&cat_id=2&rn=e3f841d53e260c43fd66765ce2dad527&user_id=1813906866&is_b=1",,
夏普,FU-WD30,5,260,FALSE,,26,,57,中国,7,,,,,,FALSE,TRUE,FALSE,"集尘HEPA过滤网；FZ-CD30GH；390
脱臭·除甲醛一体过滤网；FZ-WD30GD；430","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.uV5mJ1&id=39679234009&areaId=211200&cat_id=2&rn=23c3718597272c2851fd48664ae90546&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.103.1v1eZK&id=41105567180&areaId=211200&cat_id=2&rn=0d5d721f9732761088fc078ac3d4e749&user_id=1813906866&is_b=1",,
夏普,FU-Y180SW,5.4,175,FALSE,20,35,23,45,中国,5,699,,,TRUE,,FALSE,FALSE,FALSE,"除甲醛过滤网；FZ-Y180VFS；145
集尘·脱臭一体化过滤网；FZ-Y180SFS；220","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.95.yVVk8f&id=38408292212&areaId=211200&cat_id=2&rn=ae8306c4dae185e8588fcb8cfaa43479&user_id=2050582261&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.101.yVVk8f&id=38378395438&areaId=211200&cat_id=2&rn=ae8306c4dae185e8588fcb8cfaa43479&user_id=2050582261&is_b=1",,
夏普,IG-A10S,2.6,,,3.3,38,14,51,,2.5,"1,679",,3,FALSE,FALSE,FALSE,FALSE,FALSE,——（无产品）,,,
夏普,IG-A10SW,1.9,,,,,44,34,,2.5,"1,679",,2,FALSE,FALSE,FALSE,FALSE,FALSE,——（无产品）,,,
夏普,IG-BC2S,3,,,,,,,,3.4,,,,,,,,,——,——,,
夏普,IG-BL20S,3.6,,,5.5,13,28,42,,5.8,"2,564",270,,FALSE,FALSE,FALSE,FALSE,FALSE,——（无产品）,,,
夏普,IG-DC2Z,3.7,,,,,23,29,,2.7,,,,,,,,,——,——,,
夏普,KC-BB20,8.4,200,FALSE,,23,,57,中国,8.1,"2,278",,,FALSE,FALSE,FALSE,TRUE,FALSE,"集尘HEPA过滤网；FZ-GB20GH；467
脱臭·除甲醛一体过滤网；FZ-GB20GT；533
加湿过滤网；FZ-BB90ZK；120","http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.25.Ygpc9Y&id=17493750986&rn=89c78cd1e690a787fdef9d4b4c627d46
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.28.he8vR0&id=17455037812&rn=e9e36ceea1b19e501e5e3335dd107796
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.snPlL5&id=36656179704&areaId=211200&cat_id=2&rn=f8e1d388e4366eff69f4e3b54749db56&user_id=1688888910&is_b=1",,
夏普,KC-BB30,7.4,255,FALSE,,35,,57,中国,9.2,"2,920",,,FALSE,FALSE,FALSE,TRUE,FALSE,"集尘HEPA过滤网；FZ-GB30GH；533
脱臭·除甲醛一体过滤网；FZ-GB30GT；600
加湿过滤网；FZ-BB90ZK；120","http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.57.K5iR1s&id=23049964346&rn=d57f85680edec201c8f68f9e7d3d6778
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.54.K5iR1s&id=17444958298&rn=d57f85680edec201c8f68f9e7d3d6778
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.snPlL5&id=36656179704&areaId=211200&cat_id=2&rn=f8e1d388e4366eff69f4e3b54749db56&user_id=1688888910&is_b=1",,
夏普,KC-BB60,8.4,405,FALSE,,56,,62,中国,11,"3,499",405,,FALSE,FALSE,FALSE,TRUE,FALSE,"集尘HEPA过滤网；FZ-GB60GH；600
脱臭·除甲醛一体过滤网；FZ-GB60GT；500
加湿过滤网；FZ-BB90ZK；120","http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.25.fB5ODJ&id=23049784268&rn=69503f2f5221bc6ad47aafab1ad00ac8
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.NN9Mhf&id=38541227699&areaId=211200&cat_id=2&rn=2f0a26e0b1d8b4d4b3d1c053e310b4bc&user_id=383266494&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.snPlL5&id=36656179704&areaId=211200&cat_id=2&rn=f8e1d388e4366eff69f4e3b54749db56&user_id=1688888910&is_b=1",,
夏普,KC-BD20,4.7,200,FALSE,,23,,,,8.1,,200,,,,,,,"集尘HEPA过滤网；FZ-GB20GH；467
除甲醛过滤网；FZ-C71VFS；350
除臭过滤网；FZ-BD20ZD；400
加湿过滤网；FZ-GB90ZK；——","http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.25.Ygpc9Y&id=17493750986&rn=89c78cd1e690a787fdef9d4b4c627d46
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.oL4VH6&id=35689246131&areaId=211200&cat_id=2&rn=6ca12a1d508d9945c891ff6cde3cc6fa&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.Svdcqs&id=39669393920&areaId=211200&cat_id=2&rn=aea073d18d00036f887b207a5d6b5ac7&user_id=1813906866&is_b=1 
——",,
夏普,KC-BD30,4.7,255,FALSE,,35,,,,9.2,,255,,,,,,,"集尘HEPA过滤网；FZ-GB30GH；533
除甲醛过滤网；FZ-C101VFS；——
除臭过滤网；FZ-BD30ZD；220
加湿过滤网；FZ-BB90ZK；120","http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.57.K5iR1s&id=23049964346&rn=d57f85680edec201c8f68f9e7d3d6778
——
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.YnwpnB&id=39712404038&areaId=211200&cat_id=2&rn=7c81155b7277346e7eba678c37d232bc&user_id=1688888910&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.snPlL5&id=36656179704&areaId=211200&cat_id=2&rn=f8e1d388e4366eff69f4e3b54749db56&user_id=1688888910&is_b=1",,
夏普,KC-BD60,4.7,402,FALSE,,68,,,,11,,402,,,,,,,"集尘HEPA过滤网；FZ-GB60GH；600
除甲醛过滤网；FZ-C151VFS；——
除臭过滤网；FZ-BD60ZD；240
加湿过滤网；FZ-BB90ZK；120","http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.25.fB5ODJ&id=23049784268&rn=69503f2f5221bc6ad47aafab1ad00ac8
——
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.15.z26Vvu&id=41419499345&areaId=211200&cat_id=2&rn=5944572dc565ebba12e60241ceddae0d&user_id=742544440&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.snPlL5&id=36656179704&areaId=211200&cat_id=2&rn=f8e1d388e4366eff69f4e3b54749db56&user_id=1688888910&is_b=1",,
夏普,KC-CD20,5.5,185,FALSE,,30,,,中国,8.1,,180,,TRUE,,TRUE,TRUE,FALSE,"集尘HEPA过滤网；FZ-CD20BH；340
除臭除甲醛一体滤网；FZ-GB20GT；533
加湿过滤网；FZ-GB90ZK；——","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.9.EJ1xEk&id=39669925389&areaId=211200&cat_id=2&rn=3f34915093dd185a06fcd1d5f1c1bf42&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.28.he8vR0&id=17455037812&rn=e9e36ceea1b19e501e5e3335dd107796
——",,
夏普,KC-CD30,5.5,235,FALSE,,35,,,中国,9.2,,235,,TRUE,,TRUE,TRUE,FALSE,"集尘HEPA过滤网；FZ-CD30BH；390
除臭除甲醛一体滤网；FZ-GB30GT；600
加湿过滤网；FZ-GB90ZK；——","http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.qlMz4Q&id=39651086592&areaId=211200&cat_id=2&rn=733a88827bbbaa5399e4f997e94ab1c8&user_id=1813906866&is_b=1
http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.54.K5iR1s&id=17444958298&rn=d57f85680edec201c8f68f9e7d3d6778
——",,
夏普,KC-CD60,4.7,401,FALSE,,,,,,11,,401,,,,,,,"集尘HEPA过滤网；FZ-GB60GH；600
除臭除甲醛一体滤网；FZ-GB60GT；500
加湿过滤网；FZ-BB90ZK；120","http://detail.tmall.com/item.htm?spm=a1z10.3.w4011-2732510011.25.fB5ODJ&id=23049784268&rn=69503f2f5221bc6ad47aafab1ad00ac8
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.NN9Mhf&id=38541227699&areaId=211200&cat_id=2&rn=2f0a26e0b1d8b4d4b3d1c053e310b4bc&user_id=383266494&is_b=1
http://detail.tmall.com/item.htm?spm=a220m.1000858.1000725.3.snPlL5&id=36656179704&areaId=211200&cat_id=2&rn=f8e1d388e4366eff69f4e3b54749db56&user_id=1688888910&is_b=1",,
