品牌,型号,CADR 灰尘(m3/h),CADR 花粉,CADR 烟雾,高度(mm),宽度(mm),深度(mm),重量(kg),颜色,最小噪音(dB),最大噪音(dB),最小功率(W),最大功率(W),最大风量,材料,原产地,滤网寿命,滤网材料,滤网更新提醒,支持睡眠模式,支持遥控,支持定时,空气质量显示,风档,图片,数据来源
三星,SA501TPCH,,,,,,,,,26,33,2,4,-1,,,-1,,,,,,,,,http://www.samsung.com//cn/consumer/home-appliances/air-care/virus-doctor/SA-T501PA-spec
三星,SA600CB,,,,,,,,,25,29,2,4,-1,,,-1,,,,,,,,,http://www.samsung.com//cn/consumer/home-appliances/air-care/virus-doctor/SA600CBSSEC-spec
三星,SA600CBSSEC,,,,,,,0.73,蓝色,17.0,24.0,,,,,韩国,,,不支持,,,,,,http://img13.360buyimg.com/n1/g17/M00/00/0E/rBEbR1Np5hcIAAAAAAN_5xjQ1wUAAAFjwONbbcAA3__791.jpg,http://item.jd.com/530483.html
三星,SA600CP,,,,,,,,,25,29,2,4,-1,,,-1,,,,,,,,,http://www.samsung.com//cn/consumer/home-appliances/air-care/virus-doctor/SA600CPSSEC-spec
三星,SA600CPSSEC,,,,,,,0.73,粉色,17.0,24.0,,,,,韩国,,,,,,,,,http://img12.360buyimg.com/n1/g16/M00/00/0E/rBEbRlNp5gcIAAAAAANRIXwdxsoAAAFkQBKCjgAA1E5571.jpg,http://item.jd.com/530482.html
三星,SA600CWSSEC,,,,,,,0.73,白色,17.0,24.0,,,,,韩国,,,,,,,,,http://img14.360buyimg.com/n1/g17/M00/00/0E/rBEbR1Np5iYIAAAAAAMcZTLr8_UAAAFkAHyFOMAAxx9124.jpg,http://item.jd.com/530484.html
三星,Virus Doctor除菌器501,,,,191,120,65,0.51,,,,,4,,,,,,,,,,,,http://2b.zol-img.com.cn/product/109_160x120/847/ceeh4E21TNkcE.jpg,http://detail.zol.com.cn//350/349836/param.shtml
三星,Virus Doctor除菌器600,,,,255,96,96,0.73,,,,,3,,,,,,,,,,,3,http://2a.zol-img.com.cn/product/111_160x120/224/ceMz3ohXgJ52.jpg,http://detail.zol.com.cn//350/349840/param.shtml
三洋-帝度,DK-L2511,,,,610,352,202,7.5,银色,,,,58,,,中国-安徽,12.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010780/000000000107806765/fullimage/000000000107806765_1.jpg,http://product.suning.com/107806765.html
三洋-帝度,DK-L2512,,,,610,352,202,7.5,金色,,,,220,,,中国安徽,12.0,"HEPA滤网,活性炭滤网",有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010776/000000000107763024/fullimage/000000000107763024_1.jpg,http://product.suning.com/107763024.html
三菱重工,SPA-421AC,,,,570,460,232,7.9,银色,,,,50,300,,广东,36.0,活性炭滤网,有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010241/000000000102410456/fullimage/000000000102410456_1.jpg,http://product.suning.com/102410456.html
三菱重工,SPA-582AC,,,,570,460,232,7.9,珍珠白,,,,67,348,ABS工程塑料,,,,,,,,,五,http://2a.zol-img.com.cn/product/125_160x120/492/ceHO7QC3gnhE.jpg,http://detail.zol.com.cn//368/367898/param.shtml
三菱重工,SPA-582AC,,,,570,460,232,7.9,银色,,,,50,400,,广东,36.0,活性炭滤网,有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010241/000000000102410457/fullimage/000000000102410457_1.jpg,http://product.suning.com/102410457.html
三菱重工,SPD-361AC,,,,430,405,134,4.3,白色,,,,50,300,,广东,36.0,活性炭滤网,有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010417/000000000104178359/fullimage/000000000104178359_1.jpg,http://product.suning.com/104178359.html
三菱重工,SPD-361AC,,,,430,405,134,4.3,金色,,,,50,300,,广东,36.0,活性炭滤网,有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010417/000000000104178390/fullimage/000000000104178390_1.jpg,http://product.suning.com/104178390.html
三菱重工,SPD-511AC,,,,600,340,180,6.2,白色,,,,50,400,,广东,36.0,活性炭滤网,有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010417/000000000104178391/fullimage/000000000104178391_1.jpg,http://product.suning.com/104178391.html
三菱重工,SPD-511AC,,,,600,340,180,6.2,金色,,,,50,400,,广东,36.0,活性炭滤网,有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010417/000000000104178392/fullimage/000000000104178392_1.jpg,http://product.suning.com/104178392.html
三菱重工,SPS-361AC,,,,430,405,134,4.3,白色,,,,50,300,,广东,36.0,活性炭滤网,有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010523/000000000105234034/fullimage/000000000105234034_1.jpg,http://product.suning.com/105234034.html
三菱重工,SPS-361AC,,,,430,405,134,4.3,,,,,50,300,,广东,36.0,活性炭滤网,有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010523/000000000105234036/fullimage/000000000105234036_1.jpg,http://product.suning.com/105234036.html
三菱重工,SPS-511AC,,,,600,340,180,6.2,白色,,,,50,400,,广东,36.0,活性炭滤网,有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010523/000000000105234030/fullimage/000000000105234030_1.jpg,http://product.suning.com/105234030.html
三菱重工,SPS-511AC,,,,600,340,180,6.2,金色,,,,50,400,,广东,36.0,活性炭滤网,有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010523/000000000105234031/fullimage/000000000105234031_1.jpg,http://product.suning.com/105234031.html
三角,SP-804B,,,,163,182,182,,土豪金（香槟金）,,,,5,,铝合金外壳,,,,,true,,true,,,http://2b.zol-img.com.cn/product/134_160x120/517/ceRS0GKRXyWDU.jpg,http://detail.zol.com.cn//381/380523/param.shtml
三角(TRIANGLE),SP-804B,,,,120,150,150,0.5,金色,,,,5,150,,广州佛山,6.0,活性炭滤网,无,支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010984/000000000109842622/fullimage/000000000109842622_1.jpg,http://product.suning.com/109842622.html
东芝,CAF-G50C,,,,,,,6.3,淡雅粉,,,,,,ABS,泰国,,,支持,,,,true,,http://img14.360buyimg.com/n1/g13/M07/00/12/rBEhU1NnJgwIAAAAAAFiECsF300AAM1CgCSOX4AAWIo590.jpg,http://item.jd.com/1010444.html
东芝,CAF-KR40XC,,,,,,,8.2,钛银,,49.0,,40.0,,ABS,中国深圳,,,,true,,,true,,http://img10.360buyimg.com/n1/g16/M00/00/02/rBEbRlNpjaQIAAAAAAGGtmGKsIoAAABCQBlV_AAAYbO270.jpg,http://item.jd.com/946330.html
东芝,CAF-KR50XC,200,,,,,,10.6,香槟金,,52.0,,,,ABS,中国深圳,,,,true,,,true,,http://img14.360buyimg.com/n1/g13/M0A/14/03/rBEhUlJx9FwIAAAAAAGPu_JeVnAAAE0dANh4YcAAY_T008.jpg,http://item.jd.com/946329.html
东芝,CAF-P35CN,,,,,,,4.8,尊尚红,,49.0,,,,ABS,中国深圳,,,不支持,true,,,true,,http://img11.360buyimg.com/n1/g17/M00/00/02/rBEbR1NpjZYIAAAAAAGKcKv0gVcAAABBwGUW9oAAYqI779.jpg,http://item.jd.com/946331.html
东菱(DonLim),DL-P06,,,,329,203,569,5.8,白色,,,,50,,,佛山市顺德区,6.0,"HEPA滤网,活性炭滤网",有,支持,支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000012009/000000000120094401/fullimage/000000000120094401_1.jpg,http://product.suning.com/120094401.html
东菱(DonLim),DL-P08,,,,329,205,569,6.8,白色,,,,48,,,佛山市顺德区,6.0,"HEPA滤网,活性炭滤网",有,支持,支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000012009/000000000120094899/fullimage/000000000120094899_1.jpg,http://product.suning.com/120094899.html
丝吉利娅,AEROPAC,,,,132,270,467,3.12,,,50,,30,180,,,3.0,,,true,,true,,,http://2d.zol-img.com.cn/product/133_160x120/611/cewwqueCowdX2.jpg,http://detail.zol.com.cn//381/380444/param.shtml
丝吉利娅,AEROPAC-L5460450-004010,,,,,,,3.561,白色,,50.0,,,,,中国大陆,,,支持,true,,,,,http://img12.360buyimg.com/n1/g15/M00/1B/15/rBEhWFNm8A0IAAAAAAIGlWXKga8AAM3DQOojOAAAgat658.jpg,http://item.jd.com/795907.html
丝吉利娅,AEROVITAL,,,,467,178,490,12.5,,,,,29,70,ASA,,3.0,,,,,,,三,http://2a.zol-img.com.cn/product/133_160x120/500/ces8XA2EvB8zQ.jpg,http://detail.zol.com.cn//381/380438/param.shtml
乐宜嘉,NA-9,,,,,,,4.8,白色,,,,200,,,广东中山,12.0,"HEPA滤网,活性炭滤网,无",有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010919/000000000109195643/fullimage/000000000109195643_1.jpg,http://product.suning.com/109195643.html
乐扣乐扣,AP-1012GH,100,,,215,345,645,,黑色,30.0,50.6,,,,,广州,,,,,,,,,http://img11.360buyimg.com/n1/g16/M00/0C/04/rBEbRVOGymcIAAAAAADZ0qxcZnkAACXMABc-BgAANnq947.jpg,http://item.jd.com/1143991.html
乐扣乐扣,ELA-230T,,,,,,,5.2,红色,,53.0,,45.0,,,浙江,,,,,true,,,,http://img13.360buyimg.com/n1/g15/M03/1B/17/rBEhWFNnJWwIAAAAAAFopm_N-s4AAM4PwKYzIAAAWi-539.jpg,http://item.jd.com/1010233.html
云雅,AWEE-25PTOH,,,,,,,4.0,橙色,,24.0,,8.0,,ABS,韩国,,,无过滤网,true,,,,,http://img12.360buyimg.com/n1/g13/M0A/01/06/rBEhUlNoVOYIAAAAAAFpcNyMKxgAAM8iwNWU9sAAWmI593.jpg,http://item.jd.com/856372.html
云雅,AWEE-25PTOH,,,,370,280,280,4,橙色,24,32,,10,,ABS,,,,,,,,,五,http://2f.zol-img.com.cn/product/134_160x120/695/celiRnquZv7Bo.jpg,http://detail.zol.com.cn//381/380594/param.shtml
云雅,AWEE-25PTOH,,,,280,280,370,4,橙色,,,,8,,,韩国,12.0,无,无,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010711/000000000107118138/fullimage/000000000107118138_1.jpg,http://product.suning.com/107118138.html
云雅,AWEE-25PTSH,,,,,,,4.0,蓝色,,24.0,,8.0,,ABS,韩国,,,无过滤网,true,,,,,http://img14.360buyimg.com/n1/g13/M0A/01/06/rBEhU1NoVPcIAAAAAAFtzB2nqhIAAM8jgCoLAkAAW3k051.jpg,http://item.jd.com/856374.html
云雅,AWME-5PBS,,,,,,,5.0,黑色,,25.0,,11.0,,ABS,韩国,,,无过滤网,true,,,,,http://img14.360buyimg.com/n1/g14/M0A/02/0D/rBEhVlNoVR0IAAAAAAHTv-xhF-EAANDOANGkRoAAdPX044.jpg,http://item.jd.com/856389.html
云雅,AWME-5PBS,,,,310,315,390,5,黑色,,,,11,,,韩国,24.0,无,无,支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010720/000000000107203374/fullimage/000000000107203374_1.jpg,http://product.suning.com/107203374.html
云雅,AWME-5PWS,,,,,,,5.0,橙色,,25.0,,11.0,,ABS,韩国,,,无过滤网,true,,,,,http://img12.360buyimg.com/n1/g14/M0A/02/0D/rBEhVlNoVQYIAAAAAAFtVHwCVosAANDNQKjYxkAAW1s738.jpg,http://item.jd.com/856377.html
云雅,AWME-5PWS,,,,390,310,315,5,橙色,24,32,,11,,ABS,,,,,,,,,五,http://2a.zol-img.com.cn/product/134_160x120/756/ceeXpKCBKDrnE.jpg,http://detail.zol.com.cn//381/380596/param.shtml
云雅,AWME-5PWS,,,,310,315,390,5,橙色,,,,11,,,韩国,12.0,无,无,支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010711/000000000107118972/fullimage/000000000107118972_1.jpg,http://product.suning.com/107118972.html
云雅,AWXE-7PBD,,,,,,,9.0,黑色,,25.0,,24.0,,ABS,韩国,,,支持,true,,,true,,http://img10.360buyimg.com/n1/g14/M0A/02/0D/rBEhV1NoVSkIAAAAAAIWu6Ou2aQAANDOQOpXbQAAhbT230.jpg,http://item.jd.com/856395.html
云雅,AWXE-7PWD,,,,,,,9.0,橙色,,25.0,,24.0,,ABS,韩国,,,支持,true,,,true,,http://img13.360buyimg.com/n1/g13/M0A/01/06/rBEhVFNoVTIIAAAAAAFee9gBYE8AAM8kAD1A6cAAV6T857.jpg,http://item.jd.com/856398.html
亚都,KJ300AS-TGS,,,,,,,7.5,,,55,,65,260,,,,,,,,,,1,http://2b.zol-img.com.cn/product/87_160x120/457/ceservSQbdgc.jpg,http://detail.zol.com.cn//325/324219/param.shtml
亚都,KJF-2902,,,,700,390,210,10,,,44,,53,260,,,,,,,,,,,http://2f.zol-img.com.cn/product/90_160x120/993/ce1oabHFQFAP.jpg,http://detail.zol.com.cn//329/328066/param.shtml
亚都,KJF1282,,,,,,,6.1,,,55,,40,120,,,,,,,,,,,http://2d.zol-img.com.cn/product/37_160x120/491/cel1SjbkLTlC.jpg,http://detail.zol.com.cn//218/217788/param.shtml
亚都,KJF1353E,,,,425,450,180,6.1,香槟金,,55,,40,,,,,,,true,,,,,http://2b.zol-img.com.cn/product/98_160x120/921/ced8ErCZT6eOQ.jpg,http://detail.zol.com.cn//338/337630/param.shtml
亚都,KJF2101A,,,,700,176,270,4.7,,,,,55,,,,,,,,,,,,http://2f.zol-img.com.cn/product/83_160x120/193/ceCRLwjFco7A.jpg,http://detail.zol.com.cn//318/317638/param.shtml
亚都,KJF2103T,,,,380,200,580,7,白色,,,,40,,,中国,,HEPA滤网,有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010324/000000000103249861/fullimage/000000000103249861_1.jpg,http://product.suning.com/103249861.html
亚都,KJF2105T,,,,390,210,700,8.5,白色,,,,40,,,中国,,HEPA滤网,有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010324/000000000103249859/fullimage/000000000103249859_1.jpg,http://product.suning.com/103249859.html
亚都,KJF2106T,,,,,,,7.4,白色,,55.0,,40.0,,ABS,中国大陆,,,支持,true,,,true,,http://img10.360buyimg.com/n1/g17/M00/00/18/rBEbR1Nqz9AIAAAAAAMpv_Hd7O4AAAJawC8794AAynX626.jpg,http://item.jd.com/776150.html
亚都,KJF2202T,,,,200,580,380,8.2,银色,,45,,40,150,UFCO模板,,,,,,,,true,3,http://2a.zol-img.com.cn/product/37_160x120/572/ce7JbVYZdg6YI.jpg,http://detail.zol.com.cn//218/217807/param.shtml
亚都,KJF2202TE,,,,,,,8.2,土豪金,,55.0,,40.0,,ABS,中国大陆,,,支持,,true,,true,,http://img14.360buyimg.com/n1/g10/M00/1E/0C/rBEQWVNmFw8IAAAAAAPVKnPSW7EAAF9CAL8jLQAA9VC964.jpg,http://item.jd.com/597424.html
亚都,KJF2202TE,,,,,,,8.2,,,,,40,150,,,,,,,,,,,http://2a.zol-img.com.cn/product/92_160x120/960/ceSxFIT26SCNE.jpg,http://detail.zol.com.cn//331/330765/param.shtml
亚都,KJF2203E,,,,,,,8.2,白色,,45.0,,40.0,,ABS,中国大陆,,,支持,true,true,,true,,http://img10.360buyimg.com/n1/g16/M00/00/0D/rBEbRlNp4U4IAAAAAALosNRrCQgAAAFSwAQylQAAujI322.jpg,http://item.jd.com/523505.html
亚都,KJF2203E,,,,580,580,390,8.2,白色,,55,,,150,,,,HEPA,,,,,,,http://2f.zol-img.com.cn/product/83_160x120/739/ce20vWqcCZMPQ.jpg,http://detail.zol.com.cn//318/317647/param.shtml
亚都,KJF2301A,,,,496,410,180,4.9,,,,,36,,,,,,,,,,,,http://2f.zol-img.com.cn/product/83_160x120/265/ceKYfMo8QEau.jpg,http://detail.zol.com.cn//318/317645/param.shtml
亚都,KJF2701T,,,,390,210,700,8.5,白色,,,,40,,,中国,,HEPA滤网,有,支持,支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010324/000000000103249860/fullimage/000000000103249860_1.jpg,http://product.suning.com/103249860.html
亚都,KJF2801S,,,,860,400,280,13,,,55,,60,130,,,,,,,,,,,http://2b.zol-img.com.cn/product/37_160x120/753/ceyXGqGkFNkc.jpg,http://detail.zol.com.cn//218/217822/param.shtml
亚都,KJF2901,,,,,,,10.3,黑色,,44.0,,53.0,,ABS,中国大陆,,,支持,true,,,true,,http://img11.360buyimg.com/n1/g13/M0A/00/0F/rBEhVFNlr50IAAAAAAIMJImPa8gAAMzGADZt8EAAgw8563.jpg,http://item.jd.com/272831.html
亚都,KJF2901,,,,700,390,210,10.3,,,44,,53,260,,,,,,,,,,,http://2c.zol-img.com.cn/product/122_160x120/118/ceUy42vzVCuUs.jpg,http://detail.zol.com.cn//256/255167/param.shtml
亚都,KJF2903E,,,,,,,9.5,银色,,44.0,,53.0,,ABS,中国大陆,,,支持,,,,true,,http://img12.360buyimg.com/n1/g16/M00/00/0D/rBEbRVNp4V4IAAAAAAKBvrbzHcsAAAFTADXgXUAAoHW432.jpg,http://item.jd.com/523507.html
亚都,KJF2903E,,,,700,390,210,9.5,银色,,44,,53,,UFCO除甲醛模块,,12.0,,,,,,,三,http://2f.zol-img.com.cn/product/87_160x120/665/ceD9R0WvfU34s.jpg,http://detail.zol.com.cn//325/324270/param.shtml
亚都,KJF2903E,,,,390,210,700,9.5,银色,,,,53,150,,中国,8.0,活性炭滤网,有,不支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010838/000000000108387673/fullimage/000000000108387673_1.jpg,http://product.suning.com/108387673.html
亚都,KJF3016,,,,700,390,210,9.5,,,,,,,,,,,,,,,,,http://2d.zol-img.com.cn/product/132_160x120/405/cej1Vie6iZpV2.jpg,http://detail.zol.com.cn//378/377216/param.shtml
亚都,KJF3016,,,,460,305,790,9.5,白色,,,,53,,,中国,,HEPA滤网,有,支持,不支持,不支持,有,-1,http://image.suning.cn/content/catentries/00000000010398/000000000103988492/fullimage/000000000103988492_1.jpg,http://product.suning.com/103988492.html
亚都,KJG100G,,,,,,,5.2,香槟金,,43.0,,30.0,,,中国大陆,,,,true,,,,,http://img10.360buyimg.com/n1/g14/M0A/1D/19/rBEhVlNPvScIAAAAAAGqn7GDePMAAMJWgIFUtoAAaq3906.jpg,http://item.jd.com/1042670.html
亚都,KJG100G,,,,523,320,206,,金色,,,,30,135,HEPA滤网,,8.0,,true,,,,,,http://2b.zol-img.com.cn/product/132_160x120/319/ceusNCMKOTeBI.jpg,http://detail.zol.com.cn//378/377204/param.shtml
亚都,KJG100P,,,,523,320,206,,紫色,,,,30,135,HEPA滤网,,8.0,,true,,,,,,http://2e.zol-img.com.cn/product/132_160x120/364/ceRDlhbOScI6g.jpg,http://detail.zol.com.cn//378/377208/param.shtml
亚都,KJG1201S,,,,,,,4.7,白色,,55.0,,40.0,,ABS,中国大陆,,,不支持,,,,,,http://img12.360buyimg.com/n1/g16/M00/00/13/rBEbRlNqEgMIAAAAAAKsx6xnT4MAAAHdAPjSrEAAqzf228.jpg,http://item.jd.com/128562.html
亚都,KJG1201S,,,,,,,4.7,,,55,,40,120,,,,,,,,,,,http://2c.zol-img.com.cn/product/35_160x120/676/ceLEcx6WUU6DY.jpg,http://detail.zol.com.cn//210/209796/param.shtml
亚都,KJG200W,,,,,,,5.09,白色,,55.0,,32.0,,ABS,中国大陆,,,不支持,true,,,,,http://img10.360buyimg.com/n1/g17/M00/00/03/rBEbR1NplBgIAAAAAAG4uRPtVnQAAABbwAMN5kAAbjR598.jpg,http://item.jd.com/692850.html
亚都,KJG200W,,,,615,400,182,7.31,白色,,55,,32,,,,,,,true,,true,,三,http://2a.zol-img.com.cn/product/94_160x120/980/ceh7aYEiOgDRE.jpg,http://detail.zol.com.cn//333/332934/param.shtml
亚都,KJG2018DG,240,,,,,,11.0,米黄色,,49.0,,58.0,,,韩国,,,,true,,,,,http://img13.360buyimg.com/n1/g15/M0A/1B/1C/rBEhWFNne1UIAAAAAAFqvptcpyIAAM54AO9KggAAWrW253.jpg,http://item.jd.com/1030888.html
亚都,KJG2018DG,,,,618,241,468,,,,49,,58,330,ABS,,,,,,,,,,http://2d.zol-img.com.cn/product/132_160x120/135/celS1ijyZWXrs.jpg,http://detail.zol.com.cn//378/377195/param.shtml
亚都,KJG2104,,,,,,,7.0,白色,,55.0,,40.0,,ABS,中国大陆,,,支持,true,,,true,,http://img10.360buyimg.com/n1/g13/M04/01/10/rBEhUlNouo0IAAAAAALRPE6njWgAANAoAAMX4YAAtFU709.jpg,http://item.jd.com/621645.html
亚都,KJG2104,,,,580,380,200,7,白色,,55,,40,,,,,,,,,,,3,http://2c.zol-img.com.cn/product/91_160x120/620/ce1Pq1yhJ6TC6.jpg,http://detail.zol.com.cn//330/329036/param.shtml
亚都,KJG230S,,,,,,,5.09,银色,,55.0,,32.0,,ABS,中国大陆,,,不支持,true,,,,,http://img13.360buyimg.com/n1/g16/M00/00/03/rBEbRlNplCkIAAAAAAHH3j2EEQUAAABbwGVZ-YAAcf2670.jpg,http://item.jd.com/692853.html
亚都,KJG230S,,,,615,400,182,7.3,银色,,55,,32,,,,,,,true,,true,,三,http://2d.zol-img.com.cn/product/94_160x120/97/cekQhsb3kHUU2.jpg,http://detail.zol.com.cn//333/332938/param.shtml
亚都,KJG230S,,,,455,210,650,5,白色,,,,32,,,中国,8.0,HEPA滤网,有,不支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010838/000000000108389891/fullimage/000000000108389891_1.jpg,http://product.suning.com/108389891.html
亚都,KJG230S,,,,455,210,650,5.09,白色,,,,32,150,,中国,8.0,HEPA滤网,有,不支持,不支持,支持,无,-1,http://image.suning.cn/content/catentries/00000000010256/000000000102569029/fullimage/000000000102569029_1.jpg,http://product.suning.com/102569029.html
亚都,KJG240C,,,,,,,5.09,香槟金,,55.0,,32.0,,ABS,中国大陆,,,不支持,true,,,,,http://img13.360buyimg.com/n1/g17/M00/00/03/rBEbSFNplA0IAAAAAAHQCtMNgzIAAABbQFApPkAAdAi316.jpg,http://item.jd.com/692848.html
亚都,KJG240C,,,,615,400,182,5.09,香槟金,,55,,32,,,,12.0,,,true,,,,三,http://2f.zol-img.com.cn/product/94_160x120/901/cenOuvLrAIB.jpg,http://detail.zol.com.cn//333/332932/param.shtml
亚都,KJG2701,,,,,,,9.7,,,44,,53,260,,,,,,,,,,,http://2a.zol-img.com.cn/product/97_160x120/32/ceW14lSStEmw.jpg,http://detail.zol.com.cn//336/335719/param.shtml
亚都,KJG2702,,,,700,390,210,8.5,红色,,53,,53,,ABS,,,,,true,,true,,三,http://2f.zol-img.com.cn/product/88_160x120/777/cea9uA2GDZFbo.jpg,http://detail.zol.com.cn//326/325186/param.shtml
亚都,KJG3002A,,,,,,,7.78,,,55,,,260,,,,,,,,,,,http://2d.zol-img.com.cn/product/96_160x120/57/cenSNHCsaa5U.jpg,http://detail.zol.com.cn//335/334781/param.shtml
亚都,KJG3066DR,360,,,,,,12.0,红色,,48.0,,60.0,,,韩国,,,,true,,,,,http://img10.360buyimg.com/n1/g15/M08/1B/1C/rBEhWVNne2QIAAAAAAG928xJdJsAAM54QK_1IIAAb3z846.jpg,http://item.jd.com/1030890.html
亚都,KJG881,,,,104,343,206,1.3,,,,,5,,,,,HEPA,,,,,,,http://2d.zol-img.com.cn/product/85_160x120/837/ceWkkAi2AlL1s.jpg,http://detail.zol.com.cn//321/320828/param.shtml
亚都,KJG882,,,,124,470,332,,,,,,7,40,,,,HEPA,,,,,,,http://2a.zol-img.com.cn/product/85_160x120/14/ceFXbOnQzgLCY.jpg,http://detail.zol.com.cn//321/320829/param.shtml
亚都,KJG882,,,,470,332,124,2.74,白色,,,,20,,,中国,,HEPA滤网,无,不支持,不支持,不支持,无,-1,http://image.suning.cn/content/catentries/00000000010234/000000000102347824/fullimage/000000000102347824_1.jpg,http://product.suning.com/102347824.html
亚都,SC-LS01B,,,,,,,0.21,,,,,14,,,,,,,,,,,,http://2a.zol-img.com.cn/product/92_160x120/50/cef6NDCnehAAo.jpg,http://detail.zol.com.cn//331/330766/param.shtml
亚都,亚都KJF1353E ,,,,,,,6.1,土豪金,,55.0,,40.0,,ABS,中国大陆,,,支持,true,true,,true,,http://img10.360buyimg.com/n1/g16/M00/02/08/rBEbRVNsHDwIAAAAAAGbBiXTpaEAAAcUwFwRR0AAZse659.jpg,http://item.jd.com/732285.html
亚都,太阳能车载BG200,,,,75,185,120,0.862,,,,,6,,,,,,,,,,,4,http://2d.zol-img.com.cn/product/97_160x120/923/ce2adJmL4t7I.jpg,http://detail.zol.com.cn//337/336638/param.shtml
伊莱克斯,CN500AZ,,,,,,,8.6,金属银色/白色,26.0,50.0,,125.0,,ABS,韩国,,,支持,true,true,,true,,http://img13.360buyimg.com/n1/g15/M08/1B/1B/rBEhWlNndGIIAAAAAAOPP_HshPwAAM5zwLfdDQAA49X089.jpg,http://item.jd.com/611648.html
伊莱克斯,CN500AZ,,,,620,260,450,9,金属银色/白色,,,,125,,,,,HEPA,,true,,,true,,http://2e.zol-img.com.cn/product/126_160x120/964/ce5VVmInBZH6.jpg,http://detail.zol.com.cn//320/319008/param.shtml
伊莱克斯,CN500AZ,,,,620,450,260,8.6,,,,,,-1,,,-1,,,,,,,-1,http://www.electrolux.com.cn/Additions/ImageResize/ImageExternal.aspx?src=http%3a%2f%2fwww.electrolux.im%2fproducts%2fXMLLARGERIMAGE%2fCN500AZ-L.png&width=700&height=700&interpolation=HighQualityBicubic&forcejpeg=true,http://www.electrolux.com.cn/Products/%e5%b1%85%e5%ae%a4/%e7%a9%ba%e6%b0%94%e5%87%80%e5%8c%96%e5%99%a8/CN500AZ
伊莱克斯,CN500AZ,,,,260,450,620,,,,,,125,,,韩国,,,,,,,有,-1,http://image.suning.cn/content/catentries/00000000010519/000000000105191781/fullimage/000000000105191781_1.jpg,http://product.suning.com/105191781.html
伊莱克斯,EAC003,,,,,,,5.1,白色,,,,31.0,,ABS,韩国,,,支持,true,,,,,http://img12.360buyimg.com/n1/g14/M08/02/0A/rBEhV1NnezAIAAAAAAFOVKZSayUAANB2wNkW1MAAU5s004.jpg,http://item.jd.com/1030772.html
伊莱克斯,EAC003,193.5,,,470,350,231,5.1,,,,,,-1,,,-1,,,,,,,-1,http://www.electrolux.com.cn/Additions/ImageResize/ImageExternal.aspx?src=http%3a%2f%2fwww.electrolux.im%2fproducts%2fXMLLARGERIMAGE%2fEAC003_700x700_CN.png&width=700&height=700&interpolation=HighQualityBicubic&forcejpeg=true,http://www.electrolux.com.cn/Products/%e5%b1%85%e5%ae%a4/%e7%a9%ba%e6%b0%94%e5%87%80%e5%8c%96%e5%99%a8/EAC003
伊莱克斯,EAC103,194,,,,,,5.1,白色,,,,31.0,,ABS,韩国,,,支持,,,,,,http://img14.360buyimg.com/n1/g10/M00/1C/1E/rBEQWVNd0TMIAAAAAAC9w8jrN1sAAFq_gGrgaMAAL3b149.jpg,http://item.jd.com/1117679.html
伊莱克斯,EAC203,158.0,,,470,350,231,5.0,,,,,,-1,,,-1,,,,,,,-1,http://www.electrolux.com.cn/Additions/ImageResize/ImageExternal.aspx?src=http%3a%2f%2fwww.electrolux.im%2fproducts%2fXMLLARGERIMAGE%2fEAC203-L.png&width=700&height=700&interpolation=HighQualityBicubic&forcejpeg=true,http://www.electrolux.com.cn/Products/%e5%b1%85%e5%ae%a4/%e7%a9%ba%e6%b0%94%e5%87%80%e5%8c%96%e5%99%a8/EAC203
伊莱克斯,EAC203,,,,470,350,231,5,白色,,,,40,,,韩国,12.0,HEPA滤网,有,支持,不支持,支持,有,-1,http://image.suning.cn/content/catentries/00000000010806/000000000108060919/fullimage/000000000108060919_1.jpg,http://product.suning.com/108060919.html
